layer_seq,layer_type,layer_name,batch,dtype,device,repeat,warmup,in_channels,out_channels,input_h,input_w,kernel_h,kernel_w,stride_h,stride_w,pad_h,pad_w,groups,bias,m,n,k,in_features,out_features,seq_len,embed_dim,num_heads,head_dim,qkv_bias,causal
0,standard_conv,conv_stem,1,float32,-1,20,5,3,32,224,224,3,3,2,2,1,1,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,depthwise_conv,blocks.0.0.conv_dw,1,float32,-1,20,5,32,32,112,112,3,3,1,1,1,1,32,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,pointwise_conv,blocks.0.0.conv_pw,1,float32,-1,20,5,32,16,112,112,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,pointwise_conv,blocks.1.0.conv_pw,1,float32,-1,20,5,16,96,112,112,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,depthwise_conv,blocks.1.0.conv_dw,1,float32,-1,20,5,96,96,112,112,3,3,2,2,1,1,96,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,pointwise_conv,blocks.1.0.conv_pwl,1,float32,-1,20,5,96,24,56,56,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,pointwise_conv,blocks.1.1.conv_pw,1,float32,-1,20,5,24,144,56,56,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,depthwise_conv,blocks.1.1.conv_dw,1,float32,-1,20,5,144,144,56,56,3,3,1,1,1,1,144,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,pointwise_conv,blocks.1.1.conv_pwl,1,float32,-1,20,5,144,24,56,56,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,pointwise_conv,blocks.2.0.conv_pw,1,float32,-1,20,5,24,144,56,56,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,depthwise_conv,blocks.2.0.conv_dw,1,float32,-1,20,5,144,144,56,56,3,3,2,2,1,1,144,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,pointwise_conv,blocks.2.0.conv_pwl,1,float32,-1,20,5,144,32,28,28,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,pointwise_conv,blocks.2.1.conv_pw,1,float32,-1,20,5,32,192,28,28,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,depthwise_conv,blocks.2.1.conv_dw,1,float32,-1,20,5,192,192,28,28,3,3,1,1,1,1,192,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,pointwise_conv,blocks.2.1.conv_pwl,1,float32,-1,20,5,192,32,28,28,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,pointwise_conv,blocks.2.2.conv_pw,1,float32,-1,20,5,32,192,28,28,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,depthwise_conv,blocks.2.2.conv_dw,1,float32,-1,20,5,192,192,28,28,3,3,1,1,1,1,192,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,pointwise_conv,blocks.2.2.conv_pwl,1,float32,-1,20,5,192,32,28,28,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,pointwise_conv,blocks.3.0.conv_pw,1,float32,-1,20,5,32,192,28,28,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,depthwise_conv,blocks.3.0.conv_dw,1,float32,-1,20,5,192,192,28,28,3,3,2,2,1,1,192,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,pointwise_conv,blocks.3.0.conv_pwl,1,float32,-1,20,5,192,64,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,pointwise_conv,blocks.3.1.conv_pw,1,float32,-1,20,5,64,384,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,depthwise_conv,blocks.3.1.conv_dw,1,float32,-1,20,5,384,384,14,14,3,3,1,1,1,1,384,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,pointwise_conv,blocks.3.1.conv_pwl,1,float32,-1,20,5,384,64,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,pointwise_conv,blocks.3.2.conv_pw,1,float32,-1,20,5,64,384,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,depthwise_conv,blocks.3.2.conv_dw,1,float32,-1,20,5,384,384,14,14,3,3,1,1,1,1,384,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,pointwise_conv,blocks.3.2.conv_pwl,1,float32,-1,20,5,384,64,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,pointwise_conv,blocks.3.3.conv_pw,1,float32,-1,20,5,64,384,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,depthwise_conv,blocks.3.3.conv_dw,1,float32,-1,20,5,384,384,14,14,3,3,1,1,1,1,384,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,pointwise_conv,blocks.3.3.conv_pwl,1,float32,-1,20,5,384,64,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,pointwise_conv,blocks.4.0.conv_pw,1,float32,-1,20,5,64,384,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,depthwise_conv,blocks.4.0.conv_dw,1,float32,-1,20,5,384,384,14,14,3,3,1,1,1,1,384,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,pointwise_conv,blocks.4.0.conv_pwl,1,float32,-1,20,5,384,96,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,pointwise_conv,blocks.4.1.conv_pw,1,float32,-1,20,5,96,576,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,depthwise_conv,blocks.4.1.conv_dw,1,float32,-1,20,5,576,576,14,14,3,3,1,1,1,1,576,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,pointwise_conv,blocks.4.1.conv_pwl,1,float32,-1,20,5,576,96,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,pointwise_conv,blocks.4.2.conv_pw,1,float32,-1,20,5,96,576,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,depthwise_conv,blocks.4.2.conv_dw,1,float32,-1,20,5,576,576,14,14,3,3,1,1,1,1,576,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,pointwise_conv,blocks.4.2.conv_pwl,1,float32,-1,20,5,576,96,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,pointwise_conv,blocks.5.0.conv_pw,1,float32,-1,20,5,96,576,14,14,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,depthwise_conv,blocks.5.0.conv_dw,1,float32,-1,20,5,576,576,14,14,3,3,2,2,1,1,576,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,pointwise_conv,blocks.5.0.conv_pwl,1,float32,-1,20,5,576,160,7,7,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,pointwise_conv,blocks.5.1.conv_pw,1,float32,-1,20,5,160,960,7,7,1,1,1,1,0,0,1,false,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
